Address A,Port A,Address B,Port B,Packets,Bytes,Stream ID,Total Packets,Percent Filtered,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A
"fe80::580c:fa45:92cb:feaf",5683,"fe80::b8d0:aa3c:be56:a8dc",63826,1,43,53,1,100,1,43,0,0,276.916573,0,"",""
"fe80::580c:fa45:92cb:feaf",5683,"fe80::b8d0:aa3c:be56:a8dc",60275,1,43,55,1,100,1,43,0,0,285.063273,0,"",""
"fe80::580c:fa45:92cb:feaf",5683,"fe80::b8d0:aa3c:be56:a8dc",54638,1,43,57,1,100,1,43,0,0,293.525793,0,"",""
"fe80::580c:fa45:92cb:feaf",5683,"fe80::b8d0:aa3c:be56:a8dc",58139,1,43,59,1,100,1,43,0,0,303.256599,0,"",""
"fe80::580c:fa45:92cb:feaf",5683,"fe80::b8d0:aa3c:be56:a8dc",50678,1,43,61,1,100,1,43,0,0,316.714969,0,"",""
"fe80::580c:fa45:92cb:feaf",5683,"fe80::b8d0:aa3c:be56:a8dc",57391,1,43,63,1,100,1,43,0,0,324.062384,0,"",""
"fe80::580c:fa45:92cb:feaf",5683,"fe80::b8d0:aa3c:be56:a8dc",63737,1,43,65,1,100,1,43,0,0,337.268617,0,"",""
"fe80::580c:fa45:92cb:feaf",5683,"fe80::b8d0:aa3c:be56:a8dc",52094,1,43,67,1,100,1,43,0,0,343.990372,0,"",""
"fe80::580c:fa45:92cb:feaf",5683,"fe80::b8d0:aa3c:be56:a8dc",53395,1,43,69,1,100,1,43,0,0,354.273238,0,"",""
"fe80::580c:fa45:92cb:feaf",5683,"fe80::b8d0:aa3c:be56:a8dc",51091,1,43,71,1,100,1,43,0,0,365.638681,0,"",""
"fe80::580c:fa45:92cb:feaf",5683,"fe80::b8d0:aa3c:be56:a8dc",50586,1,43,73,1,100,1,43,0,0,374.138733,0,"",""
"fe80::580c:fa45:92cb:feaf",5683,"fe80::b8d0:aa3c:be56:a8dc",55197,1,43,75,1,100,1,43,0,0,384.374821,0,"",""
"fe80::580c:fa45:92cb:feaf",5683,"fe80::b8d0:aa3c:be56:a8dc",59577,1,43,77,1,100,1,43,0,0,396.975015,0,"",""
"fe80::580c:fa45:92cb:feaf",5683,"fe80::b8d0:aa3c:be56:a8dc",54739,1,43,79,1,100,1,43,0,0,403.578864,0,"",""
